"Timepoint","Study","Panel","VarSet","dv","group","n1","mean1","sd1","n2","mean2","sd2","t","df","p","cohens_d","hedges_g","levene_p","shapiro_p","bf10","q"
"Pre","Losers","LowPD_SightedVsBlind","AU","AU20_LipStretcher","Sighted vs Blind",64,0.018445317248878,0.0282643183044697,55,0.0231972076378852,0.03350792969899,-0.828497232362784,106.194703054399,0.40924715301303,-0.154304241440817,-0.153312993637128,0.237110064087087,4.67398060118795e-16,0.268771977665526,0.54566287068404
"Pre","Losers","LowPD_SightedVsBlind","AU","AU23_LipTightener","Sighted vs Blind",64,0.0407778615343602,0.0558248994911295,55,0.0424824528655186,0.0558506834286755,-0.166028368072042,114.307803441321,0.868427931296868,-0.0305280978317904,-0.0303319858542843,0.499683825588356,9.04674655899185e-16,0.198070013827793,0.868427931296868
"Pre","Losers","LowPD_SightedVsBlind","AU","AU24_LipPressor","Sighted vs Blind",64,0.102572471640577,0.0964044245763356,55,0.0852368160903316,0.0878766932250826,1.02575774092922,116.576669240256,0.307129532028714,0.187278417370499,0.186075344025507,0.54071477048272,4.77723142668925e-12,0.312233458921324,0.54566287068404
"Pre","Losers","LowPD_SightedVsBlind","AU","AU25_LipsPart","Sighted vs Blind",64,0.12220607503833,0.129017077837796,55,0.10819862084077,0.149662859617483,0.542233218216786,107.437400967164,0.588780777263129,0.100825516008454,0.100177814620819,0.633099451583973,2.55145037524267e-11,0.224067816618637,0.687932116896453
"Pre","Losers","LowPD_SightedVsBlind","AU","AU26_JawDrop","Sighted vs Blind",64,0.0653427588974393,0.0739060381812918,55,0.0529744462142372,0.0673783784968077,0.95455426729065,116.574601645333,0.341778367659679,0.174280333683181,0.17316075980513,0.303812791021477,1.00895522702202e-12,0.293313852278887,0.54566287068404
"Pre","Losers","LowPD_SightedVsBlind","AU","AU27_MouthStretch","Sighted vs Blind",64,0.00779567115325289,0.0512607050988016,55,0.00166136745104252,0.00608461092607924,0.949597157802971,65.0623119941336,0.345831079600865,0.162105082794694,0.161063722519782,0.379775651419767,2.77098125631195e-23,0.277752916966515,0.54566287068404
"Pre","Losers","LowPD_SightedVsBlind","AU","AU43_EyeClosure","Sighted vs Blind",64,0.267070759752854,0.116459629553758,55,0.230745806221118,0.115680718612377,1.70251157658473,114.547876467636,0.0913717317418914,0.312874323928839,0.310864424631652,0.444227788993754,0.0126911941794195,0.716858301985847,0.516233421811504
"Mid","Winners","Blind_HighVsLowPD","Emotions","Neutral","High vs Low",49,0.504139078534204,0.135892351617876,41,0.558991592484627,0.156174500694149,-1.75961092298696,79.984121104404,0.0822974964494991,-0.377090384758947,-0.373867390017417,0.204439637849757,0.000559682742136739,0.883952281469532,0.246892489348497
"Mid","Winners","Blind_HighVsLowPD","Emotions","Happy","High vs Low",49,0.0342081743953899,0.0804887365643725,41,0.0640255652833172,0.109993722371297,-1.44245592260501,71.853292013532,0.15351882391514,-0.313727125869603,-0.311045697443367,0.196556928328519,1.66801454410868e-14,0.579143320589996,0.257266669899944
"Mid","Winners","Blind_HighVsLowPD","Emotions","Sad","High vs Low",49,0.0670505573430871,0.102691107308998,41,0.0353149958354641,0.0375881922663316,2.00844372444027,62.674051737053,0.0489098002614165,0.396871735395909,0.393479669281414,0.0237194043220323,7.36063823192095e-12,1.02416670755739,0.220094101176374
"Mid","Winners","Blind_HighVsLowPD","Emotions","Angry","High vs Low",49,0.0607802562641046,0.0882132406535202,41,0.0393577430309599,0.058144292778977,1.37918675163993,83.706211501623,0.171511113266629,0.281748268592896,0.279340163733128,0.188913112541978,1.38761909412516e-12,0.481409265901918,0.257266669899944
"Mid","Winners","Blind_HighVsLowPD","Emotions","Surprised","High vs Low",49,0.0223409660049072,0.0516714999862793,41,0.0138743847601767,0.0379398122915001,0.894462445292601,86.6264238587006,0.37355301439406,0.184290584229975,0.182715451031428,0.413063277376463,7.15660162859999e-17,0.309126939577422,0.480282447078078
"Mid","Winners","Blind_HighVsLowPD","Emotions","Scared","High vs Low",49,0.0179590332893596,0.0271524130435492,41,0.0111759441001488,0.0131096276700103,1.54650146146149,71.7848666577728,0.126381033720307,0.309521223544492,0.306875743001377,0.0872172610309765,5.46444507348366e-12,0.564611659280319,0.257266669899944
"Mid","Winners","Blind_HighVsLowPD","Emotions","Disgusted","High vs Low",49,0.035555139234834,0.0563928526357745,41,0.0384986372047392,0.0496684979312806,-0.263199884974379,87.7507058028088,0.793013542044047,-0.0550790656963764,-0.0546083044511082,0.888612556544332,8.61866498914966e-13,0.22824403505936,0.793013542044047
"Mid","Winners","Blind_HighVsLowPD","Emotions","Valence","High vs Low",49,-0.0942435683682901,0.155977287843593,41,-0.0194591464200312,0.13787354023074,-2.41347412605453,87.7159229605963,0.0178814205831119,-0.505221468948455,-0.50090333673522,0.277617836580751,5.12008947302901e-05,2.60016721488031,0.160932785248007
"Mid","Winners","Blind_HighVsLowPD","Emotions","Arousal","High vs Low",49,0.388008969605457,0.0897794387219623,41,0.380915451612999,0.117817255969628,0.316266865525021,73.7952739568634,0.752692812293303,0.0685562291336976,0.0679702784573412,0.426008897051474,0.00202435639360447,0.232012558671949,0.793013542044047
"Mid","Winners","Sighted_HighVsLowPD","Emotions","Neutral","High vs Low",57,0.486641020942358,0.17100575283769,53,0.510838924422427,0.146190882659959,-0.799401011683631,107.263805342397,0.425824613795305,-0.151672592774872,-0.150616867071102,0.475283128262208,0.00352424366856763,0.268420180784623,0.941276416571994
"Mid","Winners","Sighted_HighVsLowPD","Emotions","Happy","High vs Low",57,0.0555619451560529,0.118848367574419,53,0.0509203637734019,0.0664321609899166,0.255095719632381,89.1208174168698,0.799236937045275,0.0477501415342641,0.0474177739597796,0.758164471932015,1.63000995196734e-16,0.207976976307469,0.941276416571994
"Mid","Winners","Sighted_HighVsLowPD","Emotions","Sad","High vs Low",57,0.0716672642902897,0.0724359781548234,53,0.0705921748244785,0.079723209048182,0.0738422042280088,105.014004910906,0.941276416571994,0.014139982633858,0.0140415604809542,0.814684703633573,1.18877012468982e-10,0.202709939578215,0.941276416571994
"Mid","Winners","Sighted_HighVsLowPD","Emotions","Angry","High vs Low",57,0.062130502349253,0.085312879224495,53,0.0491355813682719,0.07948062178727,0.82704606499905,107.999258693275,0.410034553601583,0.157406958947496,0.156311318862015,0.417821785652649,2.35279901946067e-15,0.274330892306233,0.941276416571994
"Mid","Winners","Sighted_HighVsLowPD","Emotions","Surprised","High vs Low",57,0.0676737644550805,0.0934394129765958,53,0.0583913610051479,0.0742521518111067,0.578795047880363,105.493012513496,0.563961220524963,0.109533178311648,0.108770766397646,0.429320187738369,1.4794405616365e-12,0.23442885715537,0.941276416571994
"Mid","Winners","Sighted_HighVsLowPD","Emotions","Scared","High vs Low",57,0.0331517915725645,0.0409362803394436,53,0.0198098645764368,0.0230134548463991,2.12574950894185,89.4134964383047,0.0362809470045953,0.397969726982793,0.39519963607572,0.0699253187829394,1.1706531920715e-11,1.39271010696335,0.326528523041358
"Mid","Winners","Sighted_HighVsLowPD","Emotions","Disgusted","High vs Low",57,0.0423142048910688,0.0648061480854496,53,0.0490719640382554,0.0957801355008127,-0.430184020264041,90.4706267122269,0.668084781567021,-0.0832155292266261,-0.082636302805095,0.534753515514559,1.48932765274873e-16,0.220230640833565,0.941276416571994
"Mid","Winners","Sighted_HighVsLowPD","Emotions","Valence","High vs Low",57,-0.0947443378733538,0.177353548471406,53,-0.0921012656583998,0.156068557755181,-0.0831087815015687,107.683477484896,0.933919339441614,-0.0157848780536482,-0.0156750065126715,0.960033983610451,3.89664334969039e-05,0.202833040363194,0.941276416571994
"Mid","Winners","Sighted_HighVsLowPD","Emotions","Arousal","High vs Low",57,0.422908417386636,0.126898152798593,53,0.415996731006125,0.123273251597448,0.28969345843887,107.786883762997,0.772607286284304,0.0552201872737758,0.0548358240212902,0.879883966334612,0.0256640767048233,0.209958667680163,0.941276416571994
"Mid","Winners","HighPD_SightedVsBlind","Emotions","Neutral","Sighted vs Blind",57,0.486641020942358,0.17100575283769,49,0.504139078534204,0.135892351617876,-0.586567007630508,103.397882194507,0.558772988791074,-0.112321019734313,-0.111509060555511,0.0422926270668531,0.000114541247249161,0.238963390237435,0.850649788488104
"Mid","Winners","HighPD_SightedVsBlind","Emotions","Happy","Sighted vs Blind",57,0.0555619451560529,0.118848367574419,49,0.0342081743953899,0.0804887365643725,1.09539814087184,98.8638637347944,0.276003608041001,0.20744743810379,0.205947818069304,0.396053533299741,2.50463874344785e-17,0.34153652557373,0.621008118092253
"Mid","Winners","HighPD_SightedVsBlind","Emotions","Sad","Sighted vs Blind",57,0.0716672642902897,0.0724359781548234,49,0.0670505573430871,0.102691107308998,0.26337545129204,84.5798691773472,0.792901779872178,0.0526381428420743,0.0522576261468304,0.517133740738515,2.48206839425475e-12,0.212803438483529,0.987689796634025
"Mid","Winners","HighPD_SightedVsBlind","Emotions","Angry","Sighted vs Blind",57,0.062130502349253,0.085312879224495,49,0.0607802562641046,0.0882132406535202,0.0797724529705894,100.519025360534,0.936576835746207,0.015580319238183,0.015467690424413,0.791553086881118,4.99175906505018e-14,0.206555797015058,0.987689796634025
"Mid","Winners","HighPD_SightedVsBlind","Emotions","Surprised","Sighted vs Blind",57,0.0676737644550805,0.0934394129765958,49,0.0223409660049072,0.0516714999862793,3.14581532687352,89.6872924545533,0.00224749786000894,0.588511942720549,0.584257639520159,0.00496383013703869,1.48906310451802e-13,10.9623709636512,0.0202274807400805
"Mid","Winners","HighPD_SightedVsBlind","Emotions","Scared","Sighted vs Blind",57,0.0331517915725645,0.0409362803394436,49,0.0179590332893596,0.0271524130435492,2.27888352976057,98.0310151737446,0.0248431099577641,0.430991403020806,0.427875802517041,0.11498194533324,3.81681085307341e-12,1.78449669648343,0.111793994809938
"Mid","Winners","HighPD_SightedVsBlind","Emotions","Disgusted","Sighted vs Blind",57,0.0423142048910688,0.0648061480854496,49,0.035555139234834,0.0563928526357745,0.574159497631253,103.980751301678,0.567099858992069,0.110682259815176,0.109882147093621,0.819118499821655,6.06472446521317e-15,0.237937900294292,0.850649788488104
"Mid","Winners","HighPD_SightedVsBlind","Emotions","Valence","Sighted vs Blind",57,-0.0947443378733538,0.177353548471406,49,-0.0942435683682901,0.155977287843593,-0.0154663281516329,103.939005242236,0.987689796634025,-0.00298385683998342,-0.00296228679053776,0.747417986992565,1.92518686313343e-06,0.205987125002262,0.987689796634025
"Mid","Winners","HighPD_SightedVsBlind","Emotions","Arousal","Sighted vs Blind",57,0.422908417386636,0.126898152798593,49,0.388008969605457,0.0897794387219623,1.65067221002232,100.462742971878,0.101928465996557,0.313519045908752,0.311252643167243,0.0286855515250003,0.173915391310069,0.650698653119164,0.305785397989672
"Mid","Winners","LowPD_SightedVsBlind","Emotions","Neutral","Sighted vs Blind",53,0.510838924422427,0.146190882659959,41,0.558991592484627,0.156174500694149,-1.52414631415192,83.2000541177664,0.131264415981326,-0.319711396767974,-0.317097952107745,0.99903891331451,0.00836524362164027,0.615267770790228,0.236275948766386
"Mid","Winners","LowPD_SightedVsBlind","Emotions","Happy","Sighted vs Blind",53,0.0509203637734019,0.0664321609899166,41,0.0640255652833172,0.109993722371297,-0.673740933081246,61.9642209159605,0.502981567559201,-0.148819922405171,-0.147603410777881,0.409566865855675,4.50690668193526e-13,0.273488236655288,0.502981567559201
"Mid","Winners","LowPD_SightedVsBlind","Emotions","Sad","Sighted vs Blind",53,0.0705921748244785,0.079723209048182,41,0.0353149958354641,0.0375881922663316,2.83920737246117,77.8249408863772,0.00576714132815872,0.543905334780237,0.539459242125357,0.0135039636962793,1.90777077978156e-09,4.19818320449109,0.0259521359767142
"Mid","Winners","LowPD_SightedVsBlind","Emotions","Angry","Sighted vs Blind",53,0.0491355813682719,0.07948062178727,41,0.0393577430309599,0.058144292778977,0.688564108761715,91.7501836012138,0.492835031364287,0.137723286177179,0.136597482747937,0.808348119230937,5.83059651620442e-15,0.26477089927328,0.502981567559201
"Mid","Winners","LowPD_SightedVsBlind","Emotions","Surprised","Sighted vs Blind",53,0.0583913610051479,0.0742521518111067,41,0.0138743847601767,0.0379398122915001,3.77406044461854,81.0246455701967,0.000304630934222238,0.727726288525572,0.721777572270595,0.00202266893509024,3.33628168822061e-12,39.4382201079363,0.00274167840800014
"Mid","Winners","LowPD_SightedVsBlind","Emotions","Scared","Sighted vs Blind",53,0.0198098645764368,0.0230134548463991,41,0.0111759441001488,0.0131096276700103,2.29244983132818,85.2701457570694,0.0243423435424738,0.446406023903935,0.442756928340687,0.0617695824255498,1.18607058289978e-09,1.6229395178624,0.0547702729705661
"Mid","Winners","LowPD_SightedVsBlind","Emotions","Disgusted","Sighted vs Blind",53,0.0490719640382554,0.0957801355008127,41,0.0384986372047392,0.0496684979312806,0.692294091512618,81.6150262794663,0.490717684569061,0.133659783046307,0.132567196263912,0.398858426297554,3.68499093970223e-15,0.261812018551324,0.502981567559201
